States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,5,1,1,4,1,0,0,1,0,0,0,0,1
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,4,3,3,3,5,6,3,6,4,2,2,2,0,2,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,4,4,6,6,9,10,7,9,11,6,10,3,0,0,4,1,0,0,0,0,1
,,50-64 Years,0,0,1,0,0,0,1,0,0,1,3,2,2,2,2,3,6,7,9,4,4,6,9,3,6,8,5,4,0,2,1,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,4,2,3,9,1,1,2,3,1,2,2,0,1,2,0,0,0,0,0,0,0
,No,All Recipient Ages,1594,1848,1799,1739,1771,1656,1523,1589,1526,1375,1386,1452,1395,1359,1334,1369,1381,1447,1303,1453,1367,1276,1222,1140,1039,1031,961,769,617,265,20,8,8,13,4,7
,,< 1 Year,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,2,1,1,0,0,0,0,0,0
,,1-5 Years,16,15,23,28,14,15,32,16,20,26,31,26,25,28,30,18,15,19,22,25,20,21,24,15,23,15,26,10,14,8,1,0,0,1,1,1
,,6-10 Years,20,12,17,21,18,19,16,12,19,22,22,16,15,18,20,27,24,17,20,23,22,20,24,15,9,15,19,16,17,9,0,0,2,3,0,1
,,11-17 Years,54,69,56,62,61,48,59,67,43,62,48,74,71,58,80,70,70,114,80,59,90,64,74,51,63,51,51,48,52,20,2,1,0,1,0,1
,,18-34 Years,302,366,350,356,362,317,288,329,319,249,251,273,247,265,273,284,270,317,306,311,304,291,273,296,253,272,239,221,163,95,5,1,2,3,2,2
,,35-49 Years,463,520,547,523,515,492,429,461,460,381,394,414,416,395,384,441,405,434,405,451,411,418,416,399,375,355,317,260,217,70,5,3,4,2,1,1
,,50-64 Years,507,580,562,514,548,535,508,510,474,456,467,471,463,447,396,399,432,399,345,433,383,348,317,281,251,262,256,171,132,45,6,2,0,3,0,1
,,65 +,232,286,244,235,253,230,191,194,189,177,173,177,158,148,150,130,165,146,125,151,137,113,93,81,65,60,53,41,21,17,1,1,0,0,0,0
,Type I,All Recipient Ages,45,44,57,48,55,65,44,40,48,43,59,73,60,56,69,67,78,58,47,13,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,4,8,5,7,9,6,5,8,9,5,8,6,8,9,7,7,10,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,35-49 Years,22,23,22,20,20,25,13,13,14,16,21,29,20,30,31,23,22,27,14,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,15,16,21,19,21,24,23,17,22,13,27,25,30,14,23,33,41,20,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,5,1,5,4,6,6,2,4,4,5,6,11,4,4,5,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,810,871,812,771,747,702,664,614,569,546,551,485,453,420,323,350,293,232,165,79,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
,,11-17 Years,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,12,4,3,2,5,14,6,3,5,5,7,6,8,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,,35-49 Years,111,124,110,125,116,88,83,100,89,92,70,48,63,50,61,46,46,54,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,393,450,432,404,375,370,393,320,293,298,316,283,248,240,172,203,168,122,87,56,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,65 +,303,285,266,239,254,238,174,188,184,151,160,146,136,122,87,100,75,55,41,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,12,18,25,21,34,45,43,33,38,40,50,34,42,51,30,24,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,1-5 Years,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,2,2,1,4,2,0,2,1,1,2,1,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,3,2,2,6,5,6,9,7,5,9,8,10,5,11,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,50-64 Years,5,11,14,11,12,24,28,13,19,16,30,17,25,25,18,13,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,4,3,6,3,11,13,5,11,13,14,10,6,10,10,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,3,5,8,11,12,18,6,10,15,34,35,23,44,47,58,101,132,167,268,388,434,388,332,335,299,301,242,245,142,68,0,2,0,1,0,0
,,6-10 Years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,1,0,1,1,0,1,2,0,0,0,1,1,0,2,8,11,19,18,7,16,20,16,21,23,12,11,0,1,0,0,0,0
,,35-49 Years,0,0,1,4,3,2,1,1,4,8,4,1,15,7,7,18,29,28,52,102,76,95,88,83,76,86,77,79,55,33,0,0,0,1,0,0
,,50-64 Years,2,3,3,5,6,10,2,7,6,19,20,16,22,30,39,67,70,93,152,201,254,208,198,189,172,161,118,118,66,22,0,1,0,0,0,0
,,65 +,1,2,4,2,2,5,2,1,5,6,9,6,7,10,11,15,33,44,55,73,85,66,37,47,31,37,25,25,9,2,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,7,16,12,13,28,26,100,172,317,539,910,1282,1194,1274,1205,1147,1183
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,16,14,12,9,9,13
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,19,13,15,15,19,11
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,28,55,67,44,49,50,55
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,9,9,21,30,71,114,216,358,347,369,327,348,358
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,8,3,4,10,11,41,78,135,210,347,443,401,486,453,400,443
,,50-64 Years,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,5,5,3,8,6,33,52,88,173,253,333,298,289,306,286,262
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,8,17,30,50,58,52,58,44,35,41
,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,All Diabetes,All Recipient Ages,375,471,365,351,372,361,358,265,245,243,280,252,281,314,260,228,209,243,252,211,198,184,169,185,156,150,140,121,138,108,151,108,105,133,122,133
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,8,3,2,5,4,9,0,3,2,2,1,1,2,0,0,3,3,1,0,2,0,2,1,3,1,1,2,3,0,2,4,1,1,0,1,0
,,6-10 Years,1,1,4,2,2,4,2,3,5,0,2,7,0,2,2,1,3,4,3,1,1,2,0,1,0,4,2,3,1,2,0,1,0,0,4,2
,,11-17 Years,7,7,13,10,10,17,17,16,13,8,11,2,8,8,8,3,3,9,11,7,3,6,4,4,9,5,3,4,7,2,9,0,2,5,1,7
,,18-34 Years,45,72,57,49,59,52,59,34,46,43,45,33,37,41,30,30,38,37,51,45,37,35,28,36,27,38,47,28,21,31,45,34,28,46,38,48
,,35-49 Years,95,142,76,99,88,96,81,69,68,55,67,54,78,78,58,67,62,61,65,67,64,57,53,59,44,51,46,51,56,38,55,39,39,47,47,52
,,50-64 Years,139,154,117,112,139,125,127,97,83,85,102,108,106,138,112,81,65,93,87,68,72,62,66,60,56,39,34,30,41,28,34,29,30,28,26,23
,,65 +,80,92,96,74,70,58,72,43,28,50,52,47,50,47,50,43,35,38,35,21,21,20,17,22,18,12,6,2,12,5,4,4,5,7,5,1
,Diabetes Status Unknown,All Recipient Ages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,50-64 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,240,338,242,262,256,269,259,197,183,188,201,176,189,221,191,158,141,180,194,151,142,127,108,134,108,119,105,79,68,31,0,1,1,1,0,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,8,3,2,5,4,9,0,3,2,2,1,1,2,0,0,3,3,1,0,2,0,2,1,3,1,1,2,3,0,1,0,0,0,0,0,0
,,6-10 Years,1,1,4,2,2,4,2,3,5,0,2,7,0,2,2,1,3,4,3,1,1,2,0,1,0,4,2,2,1,1,0,0,0,0,0,0
,,11-17 Years,6,7,13,10,10,17,17,16,13,8,11,2,8,8,8,3,3,9,11,7,3,6,4,4,9,5,3,4,5,0,0,0,0,0,0,0
,,18-34 Years,40,68,52,47,54,51,55,34,44,42,43,32,36,40,30,30,36,34,48,41,34,30,26,29,21,36,42,22,9,11,0,1,0,0,0,0
,,35-49 Years,65,116,56,80,67,77,61,53,54,45,52,47,61,60,46,55,45,45,47,48,49,44,33,48,32,37,35,30,25,10,0,0,1,1,0,0
,,50-64 Years,70,90,64,65,80,73,81,67,48,58,61,63,57,84,74,50,35,62,61,40,43,30,35,34,35,28,18,17,23,7,0,0,0,0,0,0
,,65 +,50,53,51,53,39,38,43,21,17,33,31,24,25,27,31,16,16,25,24,12,12,13,9,15,9,8,3,1,5,1,0,0,0,0,0,0
,Type I,All Recipient Ages,22,18,15,14,19,13,10,11,9,9,11,11,18,22,15,15,17,22,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,18-34 Years,3,4,3,1,2,0,1,0,0,0,0,1,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,11,8,4,10,8,7,7,7,5,5,3,0,4,13,7,6,8,10,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,50-64 Years,7,4,4,3,7,6,2,3,2,3,7,10,11,8,7,8,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,1,2,4,0,2,0,0,1,2,1,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,109,114,107,72,97,79,89,56,53,46,68,65,71,69,48,50,38,25,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,0,2,1,3,1,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,17,18,15,9,13,12,13,9,9,5,12,7,13,5,3,6,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,61,59,49,43,52,46,44,26,33,24,34,35,37,44,27,21,17,16,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,29,37,41,19,29,20,29,21,9,16,20,23,21,20,18,23,15,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,1,0,0,0,0,0,0,0,0,0,0,0,3,2,5,5,13,16,29,54,53,57,60,49,48,30,30,24,34,10,0,0,1,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,3,5,2,6,6,1,3,3,4,0,0,0,0,0,0,0
,,35-49 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,8,16,15,13,20,11,12,14,9,11,13,5,0,0,1,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,7,11,27,26,32,30,26,21,11,15,9,13,4,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,6,9,7,9,7,8,6,9,4,3,1,4,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,5,17,36,67,151,107,103,131,121,132
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,1,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,2,5,1,7
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,8,20,45,33,28,45,37,48
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,9,18,23,55,39,37,46,47,51
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,17,34,29,30,28,26,23
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,4,5,7,5,1
Connecticut,All Diabetes,All Recipient Ages,215,259,237,239,243,264,203,207,161,160,151,157,153,177,147,150,128,131,124,122,129,155,139,134,124,128,128,123,114,98,116,88,90,99,100,102
,,1-5 Years,0,1,0,1,0,1,0,2,2,1,0,0,1,1,4,1,1,1,3,2,3,1,0,1,3,0,0,0,1,2,3,1,1,1,2,2
,,6-10 Years,0,1,0,0,0,0,0,5,0,1,2,1,0,0,0,1,1,1,0,0,1,0,1,5,2,2,1,1,1,0,0,2,1,2,1,0
,,11-17 Years,1,3,4,4,1,5,2,6,5,3,1,2,1,0,1,3,5,4,5,2,1,1,6,2,3,4,2,2,1,2,1,0,2,1,5,0
,,18-34 Years,17,24,25,27,29,27,24,20,25,14,17,17,19,23,18,20,15,17,16,17,14,24,23,25,31,32,22,28,25,18,33,32,21,33,32,28
,,35-49 Years,46,69,57,53,59,59,52,49,40,48,48,46,42,54,48,42,32,42,49,50,48,56,43,49,45,47,49,49,53,46,38,31,40,36,30,46
,,50-64 Years,97,102,91,91,108,115,87,86,61,58,56,63,64,71,56,56,51,55,36,38,40,54,60,44,32,31,42,36,25,30,36,21,24,22,28,25
,,65 +,54,59,60,63,46,57,38,39,28,35,27,28,26,28,20,27,23,11,15,13,22,19,6,8,8,12,12,7,8,0,5,1,1,4,2,1
,Diabetes Status Unknown,All Recipient Ages,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,132,159,147,142,147,179,142,144,111,113,98,115,114,117,104,94,89,93,95,91,91,110,102,96,105,90,93,83,57,24,0,0,0,0,2,0
,,1-5 Years,0,1,0,1,0,1,0,2,2,1,0,0,1,1,4,1,1,1,3,2,3,1,0,1,3,0,0,0,1,2,0,0,0,0,1,0
,,6-10 Years,0,1,0,0,0,0,0,5,0,1,2,1,0,0,0,1,1,1,0,0,1,0,1,5,2,2,1,1,1,0,0,0,0,0,0,0
,,11-17 Years,1,3,4,4,1,5,2,6,4,3,1,1,1,0,1,3,5,4,5,2,1,1,6,2,3,4,2,2,1,2,0,0,0,0,0,0
,,18-34 Years,15,21,24,24,27,23,23,17,24,13,15,17,18,21,16,17,12,16,13,15,14,21,19,20,28,23,18,20,11,6,0,0,0,0,1,0
,,35-49 Years,34,47,36,34,42,46,42,38,34,35,35,37,37,45,37,25,17,30,40,39,34,40,33,29,39,32,33,30,25,6,0,0,0,0,0,0
,,50-64 Years,57,56,57,52,56,74,55,55,31,38,31,40,42,35,31,30,38,34,23,24,23,35,38,33,23,20,29,24,14,8,0,0,0,0,0,0
,,65 +,25,30,26,27,21,30,20,21,16,22,14,19,15,15,15,17,15,7,11,9,15,12,5,6,7,9,10,6,4,0,0,0,0,0,0,0
,Type I,All Recipient Ages,7,20,14,14,13,9,12,14,9,6,9,5,6,16,7,15,4,11,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,1,0,2,1,2,1,2,1,0,1,0,1,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,9,8,8,5,5,4,7,2,3,3,2,2,3,3,7,3,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,3,3,5,2,6,2,6,5,5,3,3,2,3,8,3,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,7,1,2,1,0,1,0,0,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,76,79,76,82,83,76,48,47,40,40,44,34,31,39,34,32,27,22,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,2,1,1,1,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,12,12,13,11,12,8,5,3,4,9,10,6,3,6,8,7,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,37,43,29,36,46,39,26,25,24,17,22,20,17,24,20,17,11,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,27,22,33,34,24,27,17,18,12,13,11,8,11,9,5,8,6,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,1,1,0,1,0,2,1,3,1,7,6,5,19,23,37,43,36,34,19,35,25,20,21,8,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,4,3,3,8,2,5,5,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,1,4,8,14,15,10,18,6,15,11,9,12,4,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,3,2,4,9,11,17,18,21,11,9,9,11,5,4,3,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,3,6,7,1,2,1,3,1,1,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,9,20,36,66,116,88,90,99,98,102
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,2
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,9,11,33,32,21,33,31,28
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,10,16,36,38,31,40,36,30,46
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,7,7,19,36,21,24,22,28,25
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,1,4,2,1
Delaware,All Diabetes,All Recipient Ages,46,32,32,23,30,36,33,33,28,31,49,36,35,28,17,21,20,2,3,5,4,6,7,5,0,1,3,2,4,1,1,0,0,0,0,0
,,< 1 Year,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,4,0,4,1,1,1,1,2,1,1,0,2,1,1,0,0,1,1,0,2,2,4,2,1,0,1,1,0,0,0,1,0,0,0,0,0
,,6-10 Years,1,0,1,1,0,3,3,2,0,1,1,1,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0
,,11-17 Years,1,2,3,2,9,5,0,5,1,1,1,2,2,1,1,3,3,1,2,1,0,0,4,2,0,0,2,1,1,1,0,0,0,0,0,0
,,18-34 Years,7,2,3,2,3,3,4,0,3,5,6,1,3,3,1,3,2,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,,35-49 Years,6,8,7,5,5,1,4,5,4,9,12,8,10,2,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,15,10,9,4,7,13,12,10,14,8,19,13,14,12,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,12,9,5,8,5,10,9,9,5,6,10,9,5,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,31,21,26,17,24,28,29,21,17,21,32,20,25,20,9,15,17,2,3,5,4,6,7,5,0,1,3,2,4,1,0,0,0,0,0,0
,,< 1 Year,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,4,0,4,1,1,1,1,2,1,1,0,2,1,1,0,0,1,1,0,2,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0
,,6-10 Years,1,0,1,1,0,3,3,2,0,1,1,1,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0
,,11-17 Years,1,2,3,2,8,5,0,5,1,1,1,2,2,1,1,3,3,1,2,1,0,0,4,2,0,0,2,1,1,1,0,0,0,0,0,0
,,18-34 Years,7,1,3,2,3,3,4,0,3,5,6,1,3,3,0,3,2,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,,35-49 Years,5,6,6,5,3,1,4,5,2,6,8,5,9,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,11,6,6,4,6,9,9,3,8,3,10,5,7,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
