States,Diabetes Status,Relationship,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,"Non-Biological, Other Unrelated Directed",0,0,0,2,0,1,2,3,2,0,1,1,1,0,1,1,1,1,0,0,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
,Type I,All Donor Relations,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,14,19,17,20,7,20,12,13,17,25,15,5,17,15,17,12,15,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,1,0,0,0,0,0,1,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",14,18,15,18,7,19,12,13,15,24,12,5,15,14,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,6,7,15,16,15,22,12,11,8,13,6,4,4,0,1,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,6,7,14,12,9,20,6,7,8,11,3,3,4,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,7,5,20,20,37,27,25,33,16
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,5,2
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,7,5,18,16,33,22,22,26,14
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Illinois,All Diabetes,All Donor Relations,1160,1263,1201,822,910,798,722,687,523,613,677,646,708,714,741,726,669,795,775,714,704,672,574,589,495,488,467,508,497,420,363,341,331,298,315,335
,,"Biological, blood related Parent",18,19,19,7,19,29,23,19,15,16,29,16,23,34,28,28,23,24,32,24,31,40,35,34,27,21,21,31,20,30,19,12,16,13,13,17
,,"Biological, blood related Child",45,44,70,41,45,42,42,42,32,57,56,57,75,70,86,69,71,94,91,89,75,79,65,51,28,41,28,17,22,7,15,4,3,7,5,10
,,"Biological, blood related Identical Twin",0,1,1,0,1,0,1,1,0,0,0,0,3,0,0,1,1,2,1,0,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1
,,"Biological, blood related Full Sibling",32,40,52,36,54,47,43,39,44,43,72,58,58,79,86,82,80,87,102,95,112,79,82,85,70,75,64,65,78,47,55,43,49,37,42,36
,,"Biological, blood related Half Sibling",2,2,2,0,1,1,2,1,2,1,3,3,3,3,3,1,2,9,2,0,4,2,3,3,2,2,6,3,6,0,0,1,0,0,0,0
,,"Biological, blood related Other Relative",6,18,17,21,19,19,11,24,18,15,18,36,29,28,31,28,18,30,30,25,25,23,25,13,16,26,16,11,5,11,2,2,1,0,0,1
,,"Non-Biological, Spouse",28,41,33,31,34,25,34,27,21,16,28,30,30,36,34,30,39,44,36,31,32,30,30,26,19,27,21,12,9,4,4,3,1,5,0,1
,,"Non-Biological, Life Partner",2,1,3,0,3,3,2,0,6,1,2,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",34,41,44,34,58,48,54,39,24,43,38,48,45,43,5,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",8,14,24,10,7,7,7,5,6,4,3,7,6,10,3,2,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,1,3,2,3,3,9,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",921,996,881,597,605,525,481,426,314,370,382,334,380,345,394,401,359,413,412,392,376,362,305,354,316,278,307,361,351,299,264,273,255,231,254,268
,,"Non-Biological, Other Unrelated Directed",49,45,55,45,64,52,21,61,39,44,43,47,55,62,66,69,69,84,67,56,46,55,28,22,15,16,3,3,6,4,1,3,4,0,1,0
,,NOT REPORTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,17,3,0,2,5,0,1
,,"Non-Biological, Unrelated: Non-Domino Th",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,1,0,0,0,1,2,1,4,26,19,35,89,106,82,43,13,19,17,38,14,6,11,7,2,7,5,7,5,2,1,0,1,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,2,1,1,0,2,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,1,1,1,8,21,15,4,1,2,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,1,1,4,14,28,16,11,1,4,1,10,2,1,3,1,1,1,0,0,2,1,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,7,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,1,2,7,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,1,0,0,0,1,2,1,4,22,14,14,26,28,13,10,8,12,12,14,6,3,5,4,0,2,5,7,2,0,1,0,1,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,1,1,3,12,16,16,8,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,No,All Donor Relations,677,819,768,511,554,514,490,441,358,423,422,418,433,392,377,397,415,557,548,510,501,487,439,453,385,377,327,314,256,100,4,2,3,0,2,0
,,"Biological, blood related Parent",18,18,19,6,19,27,21,15,15,16,29,14,23,26,20,19,20,22,31,22,29,39,35,32,26,21,18,30,18,22,2,0,0,0,0,0
,,"Biological, blood related Child",18,26,35,21,17,22,29,23,14,32,25,25,34,29,30,26,32,53,49,42,45,51,42,31,21,30,16,8,12,1,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",25,31,39,26,38,33,35,28,34,35,58,43,43,44,39,37,54,71,84,79,82,61,62,64,62,63,52,50,55,22,0,0,2,0,0,0
,,"Biological, blood related Half Sibling",2,1,2,0,1,1,1,1,1,1,1,2,2,1,2,0,2,6,2,0,4,2,3,3,2,2,5,2,4,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",3,11,11,12,16,15,8,16,14,13,15,26,17,13,19,20,9,19,20,18,20,16,17,10,12,16,10,10,4,7,0,0,0,0,0,0
,,"Non-Biological, Spouse",15,28,19,14,22,17,24,15,11,10,18,21,19,17,13,18,20,31,29,20,24,23,21,24,15,25,15,11,7,1,1,0,0,0,0,0
,,"Non-Biological, Life Partner",2,1,2,0,2,1,1,0,4,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",24,24,27,22,43,34,41,32,21,32,28,32,27,17,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",4,12,18,8,5,5,2,4,4,3,2,7,4,7,3,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,1,3,2,2,2,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",524,635,557,372,349,322,315,260,205,242,217,210,230,203,215,237,235,284,278,285,262,256,238,271,233,205,209,197,153,46,1,1,1,0,2,0
,,"Non-Biological, Other Unrelated Directed",28,31,38,30,41,37,11,43,33,36,25,32,33,33,29,33,39,64,53,42,33,37,20,18,13,13,1,2,3,0,0,1,0,0,0,0
,,NOT REPORTED,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,30,19,23,20,17,26,13,25,8,13,24,22,38,53,75,48,40,37,31,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",1,0,1,1,2,1,0,2,1,0,0,1,2,3,5,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",1,2,2,0,2,5,1,5,2,0,6,7,3,12,9,11,6,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,0,2,0,0,1,0,1,0,1,1,2,2,3,6,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",3,0,3,3,0,2,1,3,1,2,2,2,2,2,4,1,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",1,0,1,1,0,1,0,1,0,0,1,3,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",18,15,12,12,9,15,11,11,3,9,11,2,20,22,37,28,16,19,15,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",5,2,1,3,4,1,0,1,1,1,2,3,5,5,11,2,5,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,416,394,384,275,316,251,215,216,152,164,198,174,182,161,151,163,134,139,82,38,14,13,14,7,3,1,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,1,0,1,0,2,2,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",23,15,31,19,25,18,13,17,16,25,29,29,35,27,29,21,31,36,32,18,3,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",6,7,10,9,12,9,7,6,8,8,7,7,8,9,10,15,9,12,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,1,0,0,0,0,1,0,1,0,2,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",2,6,4,9,3,3,3,7,4,1,2,6,8,7,4,4,6,9,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",10,12,11,14,12,6,9,9,9,4,8,7,7,13,10,3,7,11,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",8,16,16,10,13,13,13,6,3,11,8,11,7,8,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",4,2,5,2,1,2,5,0,2,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",348,322,291,199,230,183,151,150,102,106,126,99,99,80,84,99,64,57,29,10,3,9,6,6,3,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",14,11,16,12,19,14,10,17,5,7,15,10,14,12,10,15,15,10,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,37,31,20,16,23,4,2,2,2,5,5,6,10,9,5,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",3,3,3,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",31,24,15,14,17,2,2,2,2,5,5,4,8,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,5,0,0,3,1,1,2,4,2,7,10,10,25,26,36,48,91,134,149,154,112,116,85,91,79,85,72,30,0,0,0,0,0,1
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,0,1,4,27,20,25,16,18,7,11,10,8,8,1,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,16,15,18,18,7,10,9,10,14,10,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,3,4,9,4,1,1,1,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,3,6,8,2,4,1,5,1,2,2,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,5,0,0,3,1,1,1,4,1,5,9,8,24,19,34,45,77,78,96,87,56,70,61,57,47,62,43,11,0,0,0,0,0,1
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,8,10,15,8,4,2,3,2,1,1,1,0,0,0,0,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,1,2,2,1,15,17,54,104,162,285,357,338,328,297,313,334
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,16,12,16,13,13,17
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,15,4,3,7,5,10
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,9,13,54,43,47,37,42,36
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,1,0,0,1
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,5,0,1
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2,2,1,15,15,49,97,148,240,263,271,254,230,252,267
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,4,0,1,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,2,5,0,1
Indiana,All Diabetes,All Donor Relations,235,303,351,358,316,277,260,269,263,276,282,300,273,285,274,237,236,226,283,249,233,233,184,162,146,183,147,145,155,157,162,163,131,153,144,146
,,"Biological, blood related Parent",3,2,3,4,5,6,3,5,9,8,9,13,7,7,14,10,8,13,14,9,8,11,12,10,11,13,11,11,10,4,11,12,7,18,12,2
,,"Biological, blood related Child",3,10,5,11,4,12,12,8,8,14,15,10,21,34,22,20,21,21,14,11,8,12,9,4,4,6,8,4,4,2,10,4,8,2,5,1
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
,,"Biological, blood related Full Sibling",3,6,3,9,11,9,8,11,5,9,16,18,25,18,28,22,18,25,20,22,17,20,22,17,17,18,22,16,15,14,19,24,17,21,11,11
,,"Biological, blood related Half Sibling",0,1,1,0,2,2,0,1,0,1,1,1,0,1,1,0,0,4,0,2,0,1,1,3,1,3,1,0,1,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",5,2,3,4,4,8,7,8,5,8,6,9,11,11,17,12,11,9,7,9,4,7,12,8,8,4,1,2,0,4,2,1,1,0,0,0
,,"Non-Biological, Spouse",4,2,9,4,15,8,14,11,10,18,8,3,10,5,9,10,11,11,10,11,3,6,4,7,4,2,1,0,1,2,4,0,0,1,1,0
,,"Non-Biological, Life Partner",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",4,4,9,4,8,6,5,5,5,3,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",2,0,3,2,3,5,4,3,8,0,1,2,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",192,249,289,299,233,184,166,174,178,188,182,211,160,161,140,137,144,119,207,169,174,166,119,104,97,133,102,111,124,128,112,120,98,109,102,116
